id;name;position;instructions;video_path
1;Cambridgeshire bluetooth invoice;Cape Verde Escudo;solutions Cross-platform Future;frictionless fuchsia
2;THX payment;back-end Sleek Metal Sausages;Nakfa Bahamas;Group Money Market Account
3;West Virginia;grow;South Dakota withdrawal synthesize;Metal deploy Credit Card Account
4;Borders Brook Solutions;reinvent;transition;Home Loan Account
5;redefine;District Shoes seize;Sausages payment;Data Soap Administrator
6;indexing Supervisor;SCSI quantifying;Interactions;Agent Plastic
7;CSS;deposit Facilitator Program;compressing world-class;Avon
8;Rustic Loaf;Forward Monitored;AGP;withdrawal
9;payment Electronics National;Berkshire;service-desk;communities intuitive help-desk
10;Generic Cotton Ball scalable back up;payment Enhanced;functionalities solid state back-end;Cambridgeshire
