id;name;trainer_name;capacity;date;active_state
1;optimize Configuration reinvent;Auto Loan Account;4505;2020-10-26T23:13:55;false
2;scalable;extensible Baby;23200;2020-10-26T21:07:32;true
3;navigating;maroon;86584;2020-10-26T16:23:20;false
4;evolve;Generic Frozen Bike;68868;2020-10-26T22:41:27;true
5;Agent Self-enabling analyzer;reboot harness;90225;2020-10-26T07:46:52;false
6;Customer;redundant navigate;57496;2020-10-26T16:55:04;false
7;invoice Berkshire Texas;aggregate;1722;2020-10-26T13:47:45;true
8;Plastic Clothing;Salad indigo lime;64057;2020-10-26T18:36:49;false
9;Incredible Metrics;supply-chains Guarani Front-line;10053;2020-10-26T20:02:01;true
10;indigo;Bike Sports;3547;2020-10-26T03:50:20;true
