id;measurement_id;metabolicage;bmr;bone_mass;height;weight;fat_percentage;neck;right_arm;left_arm;wrist;core;hip;thorax;right_thigh;left_thigh;right_calve;left_calve;date_created
1;72772;64195;46160;9099;7176;5523;88803;43042;52875;52522;56431;59922;98649;92290;72139;52162;209;31616;2020-10-26T01:44:56
2;18857;58097;55471;37942;41376;71838;16898;34991;24790;22479;19703;18597;60401;63055;52365;42564;27205;86390;2020-10-26T11:26:19
3;3992;18430;66551;6570;92018;91274;8598;78324;45171;51960;9168;26329;31272;58631;10581;62625;21627;77308;2020-10-26T20:18:43
4;10591;70156;64243;90970;54627;23537;74642;59770;12162;11415;74564;38826;40165;4486;28414;24016;50349;76074;2020-10-26T06:58:59
5;57159;33279;92003;36487;87432;70092;85764;51846;54844;30397;44783;34181;69135;93944;32985;27133;47273;27604;2020-10-26T13:57:41
6;39975;29516;81407;61022;85686;58992;60224;44534;17365;15188;42926;2587;6570;95690;28078;10548;63157;69456;2020-10-26T21:19:54
7;72152;13977;98841;42600;64955;6409;65675;83965;32923;22286;38401;77159;55157;19324;88500;89651;84085;87648;2020-10-26T16:08:49
8;87312;87806;98804;7026;42017;28890;56355;25684;69948;43410;69072;72624;86769;67585;79602;72587;75045;17823;2020-10-26T17:49:13
9;64803;16228;52331;97852;66416;38833;31845;82790;51312;10729;15392;65608;65161;98035;5048;83220;47475;97761;2020-10-26T12:24:57
10;95691;48852;57821;5439;6997;38619;50904;52459;70598;31629;99930;19935;96484;60169;73191;34020;53207;32382;2020-10-26T09:51:33
