id;objective;date_created;creator_name;active
1;California infrastructure deploy;2020-10-26T22:35:44;Optimized quantify SSL;false
2;Face to face;2020-10-26T13:23:44;end-to-end innovate Comoros;true
3;microchip;2020-10-26T02:04:16;yellow New York program;true
4;PNG;2020-10-26T02:31:58;Universal Chile;true
5;Metal Utah;2020-10-26T06:24:53;mindshare compress Minnesota;false
6;Rial Omani;2020-10-26T03:39:12;lavender Missouri Divide;false
7;synthesizing Director Savings Account;2020-10-26T05:56:51;initiative indigo;false
8;fresh-thinking e-tailers;2020-10-26T19:13:16;Rustic;true
9;value-added;2020-10-26T23:38:52;Nebraska niches;true
10;override Officer Plaza;2020-10-26T18:05:54;magenta;true
