id;type;name;freq
1;12693;input Coordinator background;Marshall Islands Oval
2;66965;UIC-Franc primary protocol;copying
3;64320;Tajikistan Programmable national;demand-driven superstructure Pennsylvania
4;42272;Creative Identity;navigating cross-platform Fantastic
5;25091;withdrawal;Plain Configuration Incredible Plastic Table
6;8560;mission-critical hacking Thailand;next-generation
7;17079;cultivate Senior;Versatile Pa'anga
8;30149;Fish Credit Card Account;indexing navigate
9;18193;Forward Fresh;Director
10;28503;Analyst;intermediate
