id;week_day;start_hour;end_hour
1;secured line pink;2020-10-26T11:07:15;2020-10-26T00:31:13
2;Re-engineered;2020-10-26T13:46:34;2020-10-26T15:23:16
3;compressing;2020-10-26T23:20:26;2020-10-26T08:13:11
4;Manager bluetooth tan;2020-10-26T04:52:45;2020-10-26T07:33:18
5;Soft;2020-10-26T09:19:25;2020-10-26T02:12:34
6;Outdoors back-end;2020-10-26T20:38:23;2020-10-26T11:05:14
7;incentivize pixel;2020-10-26T10:50:56;2020-10-26T12:57:13
8;Neck Liaison;2020-10-26T09:46:17;2020-10-26T19:17:56
9;lime Egypt Wooden;2020-10-26T05:25:55;2020-10-26T11:12:35
10;infrastructures Benin navigating;2020-10-26T07:27:29;2020-10-26T18:30:03
